rank,name,zip,employees,revenues,latitude,longitude,profit
49,ALBERTSONS COS.,83706,274000,58734,43.59974,-116.18099,-502.2
226,MICRON TECHNOLOGY,83716,31400,12399,43.52925,-116.14697,-276
290,LABORATORY CORP. OF AMERICA,27215,52000,9642,36.09317,-79.43739,732.1
440,LAM RESEARCH,94538,7500,5886,37.4886,-121.95694,914
198,SYNNEX,94538,110000,14062,37.49628,-121.97965,234.9
219,ROSS STORES,94568,78600,12867,37.71041,-121.89039,1117.7
453,CLOROX,94612,8000,5761,37.80348,-122.27237,648
340,DICK'S SPORTING GOODS,15108,27550,7922,40.50779,-80.2658,287.4
279,UNITED STATES STEEL,15219,29800,10261,40.44136,-79.99485,-440
373,WESCO INTERNATIONAL,15219,9000,7336,40.43329,-80.00437,101.6
166,PNC FINANCIAL SERVICES GROUP,15222,50683,16423,40.44129,-80.00051,3903
183,PPG INDUSTRIES,15272,47000,15178,40.43992,-80.00357,877
347,STEEL DYNAMICS,46804,7695,7777,41.0411,-85.23743,382.1
328,NEWMONT MINING,80111,12438,8379,39.60092,-104.89224,-627
118,ARROW ELECTRONICS,80112,18700,23825,39.581553,-104.88214,522.8
494,CH2M HILL,80112,20000,5236,39.5482,-104.86745,15
186,DISH NETWORK,80112,16000,15095,39.54506,-104.85536,1449.9
269,LIBERTY INTERACTIVE,80112,21080,10647,39.55318,-104.84571,1235
491,LIBERTY MEDIA,80112,3626,5276,39.55318,-104.84571,680
478,WESTERN UNION,80112,10700,5423,39.54685,-104.84492,253.2
194,AES,22203,19000,14287,38.87985,-77.11261,-1130
415,CALATLANTIC GROUP,22209,3055,6477,38.89465,-77.07012,484.7
159,CUMMINS,47201,55400,17509,39.20402,-85.92326,1394
1,WALMART,72716,2300000,485873,36.36477,-94.21763,13643
407,J.B. HUNT TRANSPORT SERVICES,72745,22190,6556,36.2453,-94.14745,432.1
397,SEALED AIR,7407,23000,6778,40.89756,-74.1272,486.4
225,BECTON DICKINSON,7417,50928,12483,41.01613,-74.20762,976
384,ASCENA RETAIL GROUP,7430,41000,6995,41.07444,-74.17075,-11.9
205,COGNIZANT TECHNOLOGY SOLUTIONS,7666,260200,13487,40.87398,-74.00657,1553
137,WHIRLPOOL,49022,93000,20718,42.14912,-86.44101,888
426,IHEARTMEDIA,78209,18700,6274,29.49244,-98.47939,-296.3
307,CST BRANDS,78259,12380,9061,29.624432,-98.42136,324
37,VALERO ENERGY,78249,9996,70166,29.58919,-98.606,2289
117,ANDEAVOR,78259,6308,24005,29.6161,-98.45941,734
102,USAA,78288,29943,27131,29.53455,-98.573,1779.1
363,HARRIS,32919,21000,7527,28.0913,-80.63837,324
306,BALL,80021,18450,9061,39.91172,-105.0992,263
336,LEVEL 3 COMMUNICATIONS,80021,12600,8172,39.9206,-105.14427,677
129,AUTONATION,33301,26000,21609,26.12002,-80.14419,430.5
463,BURLINGTON STORES,8016,40000,5591,40.09215,-74.80758,215.9
476,CINCINNATI FINANCIAL,45014,4754,5449,39.30823,-84.52325,590.7
441,AK STEEL HOLDING,45069,8500,5883,39.32767,-84.42792,-7.8
216,KELLOGG,49017,37369,13014,42.3523,-85.22982,694
339,CAMPBELL SOUP,8103,16500,7961,39.94217,-75.10737,563
136,DOLLAR TREE,23320,116050,20719,36.76982,-76.24149,896.2
454,GENESIS HEALTHCARE,19348,82000,5733,39.84708,-75.71159,-64
249,LAS VEGAS SANDS,89109,49000,11410,36.12198,-115.17141,1670
297,MGM RESORTS INTERNATIONAL,89109,66500,9455,36.11203,-115.17694,1101.4
180,GENUINE PARTS,30339,40000,15340,33.89521,-84.46972,687.2
364,HD SUPPLY HOLDINGS,30339,14000,7524,33.87735,-84.46577,196
23,HOME DEPOT,30339,406000,94595,33.86197,-84.48297,7957
378,ALLIANCE DATA SYSTEMS,75024,17000,7138,33.08093,-96.82359,515.8
416,DR PEPPER SNAPPLE GROUP,75024,20000,6440,33.07563,-96.80476,847
221,J.C. PENNEY,75024,106000,12547,33.0811,-96.83171,1
399,YUM CHINA HOLDINGS,75024,420000,6752,33.07438,-96.83538,502
19,CHEVRON,94583,55200,107567,37.75832,-121.95969,-497
124,US FOODS HOLDING,60018,25000,22919,41.9889,-87.85781,209.8
359,ANIXTER INTERNATIONAL,60026,8900,7625,42.09727,-87.82337,120.5
202,ILLINOIS TOOL WORKS,60026,50000,13599,42.08769,-87.84604,2035
84,ALLSTATE,60062,43275,36534,42.09907,-87.87074,1877
106,KRAFT HEINZ,60601,41000,26487,41.885297,-87.621006,3632
456,INGREDION,60154,11000,5704,41.84558,-87.90225,484.9
127,SEARS HOLDINGS,60179,140000,22138,42.08016,-88.22354,-2221
433,MOTOROLA SOLUTIONS,60661,14000,6038,41.880843,-87.64077,560
391,JONES LANG LASALLE,60601,77300,6804,41.88526,-87.62148,318.2
439,OLD REPUBLIC INTERNATIONAL,60601,8500,5901,41.8871,-87.62429,466.9
89,EXELON,60603,34396,31360,41.88133,-87.63014,1134
24,BOEING,60606,150540,94571,41.88355,-87.63855,4895
388,R.R. DONNELLEY & SONS,60606,44360,6896,41.886583,-87.629188,-495.9
83,UNITED CONTINENTAL HOLDINGS,60606,88000,36556,41.8787,-87.63598,2263
304,LKQ,60661,42500,9082,41.88235,-87.64047,464
91,RITE AID,17011,70580,30737,40.25675,-76.91367,165.5
479,KEYCORP,44114,15700,5422,41.50094,-81.69401,791
236,SHERWIN-WILLIAMS,44115,42550,11856,41.49747,-81.69359,1132.7
251,PARKER-HANNIFIN,44124,48950,11361,41.50688,-81.46095,806.8
120,PROGRESSIVE,44143,31721,23441,41.53704,-81.45156,1031
470,TRAVELCENTERS OF AMERICA,44145,20259,5511,41.45648,-81.89416,-2
93,CHS,55077,12157,30347,44.86943,-93.06283,424.2
466,PATTERSON,55120,7000,5555,44.86743,-93.14265,187.2
155,KIMBERLY-CLARK,75038,42000,18202,32.86992,-96.95025,2166
484,CELANESE,75039,7293,5389,32.87148,-96.94402,900
4,EXXON MOBIL,75039,72700,205004,32.89021,-96.94977,7840
149,FLUOR,75039,61551,19037,32.90331,-96.94971,281.4
499,VISTRA ENERGY,75039,4431,5164,32.89835,-96.96431,-99999
