block,avg_lat,avg_lng
HAIGHT ST 700,37.7716048748333,-122.4345459555
FAIR OAKS ST 400,37.7495906639682,-122.423796731587
FOLSOM ST 900,37.7792451056757,-122.404560668108
OFARRELL ST 2000,37.78254555,-122.438511657143
HAWES ST 0,37.73505786,-122.37547151
CAPP ST 400,37.7597859189189,-122.418009595676
SADDLEBACK DR 1000,37.70952523,-122.42688029
MISSION ST 4500,37.7253371847619,-122.434190405238
CARROLL AVE 1400,37.723480455,-122.3907274275
SAN BRUNO AVE 2300,37.733379132,-122.406401872
INGALLS ST 3000,37.720078935,-122.392080305
FELL ST 2100,37.7722802926316,-122.453549161579
STOCKTON ST 1100,37.7961535106061,-122.408437571515
HYDE ST 1200,37.792429406,-122.417684616
LAKEVIEW AVE 200,37.717173241875,-122.452281545
BROTHERHOOD WAY 900,37.71373716,-122.48177258
SLOAT BLVD 2800,37.7357279133333,-122.504891113333
GUERRERO ST 800,37.7575309304255,-122.423447068936
WILLARD ST 1200,37.7656752952174,-122.454576508261
11TH AVE 500,37.7779081846296,-122.469391092222
SAN BRUNO AVE 2200,37.73501165,-122.40678494
SLOAT BLVD 100,37.7350044575,-122.47340174
SHRADER ST 1400,37.7619799541936,-122.450645057419
CLEMENT ST 500,37.7830035428125,-122.464924773125
DIVISADERO ST 1800,37.7866251487805,-122.440126163415
LAWTON ST 1100,37.7580625214286,-122.475093802857
MARIN ST 2000,37.74902257,-122.39642774
PACIFIC AVE 2000,37.7940365522222,-122.428961426667
EXCELSIOR AVE 900,37.72269633,-122.42578183375
SILVER AVE 1800,37.734125055,-122.40236624375
SKYVIEW WAY 100,37.7525322939286,-122.45011498
RIVERA ST 3600,37.745529934,-122.505424848
OAK PARK DR 0,37.75509629,-122.4553764
PATTERSON ST 0,37.7432203866667,-122.404221203333
FOLSOM ST 1200,37.7744049594737,-122.410759097368
RAMSELL ST 500,37.7206164851351,-122.466256742162
CAMBRIDGE ST 0,37.7312389671429,-122.419967388571
COSO AVE 200,37.7452402466667,-122.415958083333
KIRKHAM ST 3900,37.7587693214286,-122.503109604286
LOMBARD ST 2200,37.799603165,-122.438694950313
STANYAN BLVD 0,37.7804383488,-122.456151244
CLIPPER ST 100,37.7492911329167,-122.428294409583
MOULTRIE ST 400,37.73878813,-122.41569114
SICKLES AVE 100,37.7096531862162,-122.453888861351
KRAUSGRILL PL 0,37.8016711383333,-122.408984676667
LAWTON ST 3300,37.756859306,-122.498742306
RUSSIA AVE 600,37.7189383666667,-122.432051994167
CLAY ST 2900,37.789720955,-122.441799439
15TH ST 2400,37.7660455934375,-122.437552555625
CORTES AVE 0,37.74474453,-122.46641066
ALVARADO ST 400,37.753874815,-122.431098295909
CLEMENT ST 1500,37.7822659038889,-122.475777957778
GREENWICH ST 200,37.802761815,-122.40408808125
27TH ST 200,37.7469424453846,-122.425881771282
NOE ST 1700,37.7411887442857,-122.430730795357
MISSION ST 1800,37.7674121792857,-122.419760665714
BUCHANAN ST 400,37.7739965225,-122.4274936025
45TH AVE 500,37.778083582,-122.50608912625
23RD ST 2100,37.7546460566667,-122.4010348175
CABRILLO ST 100,37.7755497045455,-122.460050144545
GOETTINGEN ST 100,37.7298831052381,-122.407856970952
FLORENTINE AVE 0,37.7125188579412,-122.443574869412
40TH AVE 700,37.7746151395455,-122.500516851818
35TH AVE 1800,37.7525504955555,-122.493561185556
SAINT FRANCIS BLVD 500,37.735298455,-122.465841225
WINFIELD ST 0,37.74448699,-122.417335119863
VAN NESS AVE 2300,37.7972925105555,-122.4239461225
LYON ST 2800,37.797057754,-122.446783677
BROADMOOR DR 100,37.7260755282353,-122.473308447059
CASTENADA AVE 500,37.74599983,-122.467543932857
PERSIA AVE 500,37.7210272655555,-122.431597723333
SHIPLEY ST 200,37.77885167,-122.404011708293
25TH AVE 0,37.788772380303,-122.48515262303
CAPP ST 0,37.7660656885185,-122.418437155556
POST ST 2100,37.78496877,-122.437101556667
DIAMOND ST 100,37.7598908735294,-122.437295891176
30TH AVE 2600,37.7381118746154,-122.487721097692
LELAND AVE 500,37.7146723428571,-122.414782637143
22ND AVE 300,37.7812905434615,-122.4816263975
EVANS AVE 1900,37.746519958,-122.394771766
02ND AVE 500,37.7783965273333,-122.459812727333
22ND AVE 2600,37.7382166424444,-122.478554473778
HOWTH ST 0,37.722446626,-122.449865024
