u,v
0,1
0,2
0,3
0,4
0,5
0,6
0,9
0,10
0,12
0,13
0,14
0,18
0,20
0,22
0,24
0,25
0,27
0,32
0,34
0,36
0,37
0,38
0,39
0,45
0,49
0,50
0,51
0,53
0,54
0,56
0,57
0,60
0,65
0,66
0,69
0,71
0,77
0,79
0,81
0,82
0,87
0,88
0,89
0,90
0,92
0,93
0,95
0,97
0,103
0,110
0,112
0,113
0,114
0,115
0,116
0,118
0,119
0,120
0,123
0,125
0,127
0,129
0,136
0,148
0,150
0,151
0,152
0,153
0,155
0,156
0,158
0,163
0,165
0,168
0,169
0,176
0,179
0,187
0,188
0,196
0,197
0,199
0,201
0,204
0,205
0,208
0,211
0,215
0,216
0,220
0,223
0,227
0,228
0,231
0,237
0,239
0,240
0,241
0,243
0,248
0,251
0,252
0,257
0,258
0,261
0,269
0,270
0,272
0,274
0,275
0,278
0,281
0,287
0,288
0,290
0,292
0,297
0,298
0,299
0,303
0,304
0,311
0,326
0,328
0,334
0,335
0,337
0,338
0,342
0,346
0,348
0,350
0,351
0,352
0,353
0,355
0,358
0,359
0,360
0,363
0,368
0,370
0,371
0,372
0,374
0,379
0,383
0,387
0,392
0,394
0,397
0,398
0,403
0,404
0,405
0,406
0,411
0,414
0,420
0,423
0,424
0,426
0,427
0,429
0,430
0,431
0,432
0,435
0,437
0,440
0,442
0,443
0,444
0,445
0,448
0,452
0,454
0,456
0,457
0,459
0,463
0,464
0,465
0,468
0,475
0,476
0,477
0,480
0,481
0,482
0,483
0,484
0,487
0,492
0,504
0,506
0,511
0,512
0,522
0,528
0,532
0,535
0,536
0,538
0,544
0,546
0,553
0,555
0,560
0,561
0,564
0,567
0,569
0,573
0,577
0,589
0,590
0,591
0,594
0,596
0,601
0,609
0,619
0,620
0,621
0,622
0,636
0,638
0,641
0,643
0,644
0,649
0,652
0,653
0,656
0,658
0,662
0,663
0,665
0,670
0,672
0,676
0,677
0,678
0,679
0,684
0,685
0,688
0,693
0,700
0,705
0,710
0,712
0,714
0,716
0,717
0,718
0,720
0,723
0,726
0,728
0,730
0,731
0,733
0,734
0,735
0,745
0,747
0,748
0,750
0,752
0,755
0,756
0,758
0,762
0,763
0,767
0,768
0,769
0,770
0,773
0,778
0,780
0,783
0,786
0,787
0,800
0,802
0,808
0,809
0,810
0,812
0,816
0,817
0,818
0,823
0,827
0,828
0,832
0,837
0,841
0,842
0,845
0,847
0,855
0,856
0,857
0,859
0,860
0,861
0,865
0,866
0,868
0,870
0,871
0,874
0,876
0,879
0,883
0,892
0,898
0,899
0,905
0,906
0,907
0,909
0,912
0,917
0,919
0,925
0,928
0,931
0,934
0,935
0,936
0,937
0,938
0,940
0,943
0,945
0,951
0,952
0,954
0,956
0,957
0,958
0,962
0,965
0,966
0,969
0,975
0,977
0,984
0,985
0,990
0,991
0,992
0,993
0,994
0,995
0,997
0,999
0,1000
0,1001
0,1004
0,1009
0,1010
0,1012
0,1015
0,1016
0,1020
0,1025
0,1027
0,1032
0,1036
0,1037
0,1038
0,1040
0,1041
0,1044
0,1045
0,1046
0,1048
0,1054
0,1056
0,1057
0,1061
0,1062
0,1064
0,1065
0,1066
0,1068
0,1070
0,1073
0,1077
0,1079
0,1081
0,1084
0,1085
0,1086
0,1097
0,1098
0,1102
0,1104
0,1105
0,1106
0,1109
0,1114
0,1119
0,1124
0,1126
0,1128
0,1130
0,1131
0,1132
0,1138
0,1140
0,1141
0,1146
0,1148
0,1149
0,1152
0,1155
0,1156
0,1163
0,1164
0,1165
0,1168
0,1176
0,1177
0,1178
0,1179
0,1183
0,1186
0,1188
0,1192
0,1194
0,1195
0,1196
0,1201
0,1205
0,1212
0,1213
0,1219
0,1220
0,1221
0,1224
0,1226
0,1227
0,1234
0,1243
0,1247
0,1250
0,1254
0,1256
0,1258
0,1259
0,1260
0,1263
0,1268
0,1271
0,1273
0,1274
0,1275
0,1276
0,1278
0,1281
0,1283
0,1288
0,1289
0,1294
0,1297
0,1306
0,1308
0,1311
0,1312
0,1318
0,1320
0,1322
0,1326
0,1327
0,1328
0,1329
0,1330
0,1334
0,1336
0,1337
0,1342
0,1347
0,1348
0,1353
0,1354
0,1357
0,1358
0,1363
0,1364
0,1367
0,1369
0,1378
0,1382
0,1386
0,1387
0,1388
0,1391
0,1394
0,1398
0,1400
0,1401
0,1403
0,1404
0,1405
0,1413
0,1414
0,1417
0,1419
0,1421
0,1427
0,1429
0,1430
0,1436
0,1439
0,1444
0,1445
0,1460
0,1464
0,1465
0,1466
0,1470
0,1473
0,1486
0,1488
0,1489
0,1491
0,1496
0,1507
0,1515
0,1517
0,1519
0,1521
0,1523
0,1525
0,1539
0,1544
0,1547
0,1556
0,1557
0,1560
0,1564
0,1575
0,1578
0,1581
0,1583
0,1584
0,1586
0,1587
0,1591
0,1593
0,1598
0,1601
0,1606
0,1609
0,1616
0,1620
0,1626
0,1630
0,1643
0,1645
0,1649
0,1650
0,1653
0,1654
0,1657
0,1658
0,1661
0,1672
0,1679
0,1685
0,1695
0,1696
0,1708
0,1718
0,1725
0,1726
0,1728
0,1729
0,1732
0,1740
0,1743
0,1744
0,1746
0,1747
0,1749
0,1751
0,1755
0,1757
0,1758
0,1768
0,1769
0,1780
0,1781
0,1783
0,1786
0,1787
0,1789
0,1790
0,1792
0,1793
0,1794
0,1798
0,1799
0,1800
0,1811
0,1817
0,1820
0,1823
0,1828
0,1829
0,1832
0,1842
0,1847
0,1848
0,1852
0,1859
0,1863
0,1865
0,1866
0,1867
0,1870
0,1871
0,1875
0,1882
0,1883
0,1886
0,1891
0,1892
0,1897
0,1899
0,1906
0,1911
0,1913
0,1921
0,1924
0,1928
0,1930
0,1931
0,1933
0,1938
0,1939
0,1940
0,1942
0,1943
0,1950
0,1953
0,1955
0,1957
0,1959
0,1962
0,1967
0,1974
0,1979
0,1982
0,1983
0,1987
0,1988
0,1993
0,1995
0,1997
0,1999
0,2000
0,2006
0,2064
0,2065
0,2089
0,2141
0,2148
0,2161
0,2167
0,2256
0,2268
0,2291
0,2302
0,2305
0,2330
0,2406
0,2421
0,2444
0,2476
0,2493
0,2571
0,2611
0,2615
0,2624
0,2625
0,2627
0,2643
0,2724
0,2736
0,2766
0,2788
0,2808
0,2834
0,2863
0,2898
0,2926
0,2970
0,3009
0,3048
0,3159
0,3174
0,3184
0,3212
0,3215
0,3240
0,3247
0,3268
0,3276
0,3331
0,3356
0,3364
0,3402
0,3405
0,3433
0,3440
0,3484
0,3488
0,3519
0,3524
0,3545
0,3581
0,3608
0,3688
0,3720
0,3747
0,3791
0,3810
0,3854
0,3876
0,3884
0,3893
0,3916
0,3924
0,3952
0,4026
0,4086
0,4127
0,4150
0,4158
0,4195
0,4269
0,4304
0,4356
0,4365
0,4461
0,4501
0,4516
0,4527
0,4550
0,4572
0,4708
0,4709
0,4713
0,4745
0,4816
0,4835
0,4889
0,4925
0,4972
0,4984
0,5037
0,5039
0,5045
0,5048
0,5136
